背番号,Unnamed: 1,HG,名前,Pos.,出生地 ※1,生年月日,身長/体重,出場 試合数 ※2,ゴール 数 ※3,player_no,position,player_name,birth,height_weight,club_key,club_name,fetched_at,source_url
7.0,,,阿野 真拓,MF,栃木県,2003/8/30,158/55,3,0,7.0,MF,阿野 真拓,2003/8/30,158/55,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
8.0,,,力安 祥伍,MF,広島県,1998/8/22,174/67,3,0,8.0,MF,力安 祥伍,1998/8/22,174/67,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
10.0,,,井上 怜,MF,千葉県,2001/1/18,166/61,3,1,10.0,MF,井上 怜,2001/1/18,166/61,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
13.0,,,中野 桂太,MF,滋賀県,2002/8/27,167/65,0,0,13.0,MF,中野 桂太,2002/8/27,167/65,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
14.0,,,五月田 星矢,MF,長崎県,2002/4/18,172/68,0,0,14.0,MF,五月田 星矢,2002/4/18,172/68,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
27.0,,,山内 陸,MF,北海道,2000/8/2,170/66,2,0,27.0,MF,山内 陸,2000/8/2,170/66,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
30.0,,,望月 耕平,MF,神奈川県,2006/6/7,178/73,0,0,30.0,MF,望月 耕平,2006/6/7,178/73,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
34.0,,,河合 駿樹,MF,北海道,2002/12/31,163/60,0,0,34.0,MF,河合 駿樹,2002/12/31,163/60,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
40.0,,,安藤 陸登,MF,兵庫県,2006/8/8,180/68,2,0,40.0,MF,安藤 陸登,2006/8/8,180/68,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
47.0,,,奥村 晃司,MF,埼玉県,1998/7/29,175/65,3,1,47.0,MF,奥村 晃司,1998/7/29,175/65,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
82.0,,,坂井 駿也,MF,熊本県,2004/4/16,171/65,3,1,82.0,MF,坂井 駿也,2004/4/16,171/65,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
9.0,,,橋本 啓吾,FW,大阪府,1998/9/17,188/82,0,0,9.0,FW,橋本 啓吾,1998/9/17,188/82,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
11.0,,,土信田 悠生,FW,山口県,1999/7/23,182/76,3,3,11.0,FW,土信田 悠生,1999/7/23,182/76,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
18.0,,,佐藤 遼,FW,東京都,2004/1/8,176/70,0,0,18.0,FW,佐藤 遼,2004/1/8,176/70,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
22.0,,,塚本 一咲,FW,福岡県,2007/6/16,183/75,0,0,22.0,FW,塚本 一咲,2007/6/16,183/75,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
42.0,,,松本 ケン チザンガ,FW,埼玉県,2002/3/14,192/88,3,0,42.0,FW,松本 ケン チザンガ,2002/3/14,192/88,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
58.0,,,武 颯,FW,神奈川県,1995/7/17,175/74,2,0,58.0,FW,武 颯,1995/7/17,175/74,miyazaki,テゲバジャーロ宮崎,2026-02-22T16:18:24,https://www.jleague.jp/club/ajax_player/
1.0,,,上田 智輝,GK,奈良県,1996/3/3,182/80,0,0,1.0,GK,上田 智輝,1996/3/3,182/80,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
22.0,,,吉丸 絢梓,GK,宮崎県,1996/3/27,183/75,0,0,22.0,GK,吉丸 絢梓,1996/3/27,183/75,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
31.0,,,安西 駿,GK,福島県,2000/5/1,185/72,0,0,31.0,GK,安西 駿,2000/5/1,185/72,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
41.0,,,田中 雄大,GK,滋賀県,1999/7/9,180/73,0,0,41.0,GK,田中 雄大,1999/7/9,180/73,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
78.0,,,チョン ソンリョン,GK,大韓民国,1985/1/4,191/91,3,0,78.0,GK,チョン ソンリョン,1985/1/4,191/91,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
5.0,,,當麻 颯,DF,大阪府,2002/4/21,186/76,3,0,5.0,DF,當麻 颯,2002/4/21,186/76,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
17.0,,,藤谷 匠,DF,兵庫県,1995/12/6,184/73,1,0,17.0,DF,藤谷 匠,1995/12/6,184/73,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
21.0,,,チェ ドヒョン,DF,大韓民国,2004/10/11,175/66,0,0,21.0,DF,チェ ドヒョン,2004/10/11,175/66,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
23.0,,,安在 達弥,DF,東京都,1996/5/9,173/72,3,0,23.0,DF,安在 達弥,1996/5/9,173/72,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
24.0,,,宝納 拓斗,DF,佐賀県,2004/6/27,183/72,2,0,24.0,DF,宝納 拓斗,2004/6/27,183/72,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
27.0,,,野末 学,DF,静岡県,2000/5/30,178/75,2,0,27.0,DF,野末 学,2000/5/30,178/75,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
28.0,,,鈴 直樹,DF,鹿児島県,2000/4/13,176/72,0,0,28.0,DF,鈴 直樹,2000/4/13,176/72,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
29.0,,,土屋 櫂大,DF,神奈川県,2006/5/12,181/74,2,0,29.0,DF,土屋 櫂大,2006/5/12,181/74,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
77.0,,,千葉 虎士,DF,宮城県,2005/12/27,179/67,3,0,77.0,DF,千葉 虎士,2005/12/27,179/67,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
6.0,,,上畑 佑平士,MF,兵庫県,1998/7/25,180/72,3,0,6.0,MF,上畑 佑平士,1998/7/25,180/72,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
7.0,,,芦部 晃生,MF,宮城県,2001/4/5,173/69,3,0,7.0,MF,芦部 晃生,2001/4/5,173/69,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
8.0,,,岡田 優希,MF,神奈川県,1996/5/13,172/70,3,0,8.0,MF,岡田 優希,1996/5/13,172/70,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
10.0,,,針谷 岳晃,MF,埼玉県,1998/10/15,166/56,3,0,10.0,MF,針谷 岳晃,1998/10/15,166/56,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
14.0,,,中村 翼,MF,神奈川県,2002/4/26,168/63,2,0,14.0,MF,中村 翼,2002/4/26,168/63,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
19.0,,,藤田 仁朗,MF,兵庫県,2003/5/2,169/60,0,0,19.0,MF,藤田 仁朗,2003/5/2,169/60,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
20.0,,,泉 彩稀,MF,大阪府,2003/8/21,179/65,2,0,20.0,MF,泉 彩稀,2003/8/21,179/65,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
26.0,,,田中 慶汰,MF,神奈川県,2003/4/17,175/68,0,0,26.0,MF,田中 慶汰,2003/4/17,175/68,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
30.0,,,狩野 海晟,MF,宮城県,2002/2/8,167/63,2,0,30.0,MF,狩野 海晟,2002/2/8,167/63,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
32.0,,,永長 鷹虎,MF,兵庫県,2003/4/7,168/60,2,0,32.0,MF,永長 鷹虎,2003/4/7,168/60,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
9.0,,,清水 一雅,FW,群馬県,2001/8/2,171/68,2,0,9.0,FW,清水 一雅,2001/8/2,171/68,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
11.0,,,三浦 知良,FW,静岡県,1967/2/26,177/72,1,0,11.0,FW,三浦 知良,1967/2/26,177/72,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
18.0,,,石井 稜真,FW,福岡県,2002/6/15,183/79,2,0,18.0,FW,石井 稜真,2002/6/15,183/79,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
25.0,,,村上 力己,FW,岩手県,2003/6/5,170/66,0,0,25.0,FW,村上 力己,2003/6/5,170/66,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
40.0,,,樋口 寛規,FW,兵庫県,1992/4/16,172/72,3,2,40.0,FW,樋口 寛規,1992/4/16,172/72,fukushima,福島ユナイテッドＦＣ,2026-02-22T16:18:26,https://www.jleague.jp/club/ajax_player/
1.0,,,山田 和季,GK,兵庫県,2003/12/30,185/80,0,0,1.0,GK,山田 和季,2003/12/30,185/80,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
13.0,,,近藤 壱成,GK,奈良県,2001/1/15,188/86,0,0,13.0,GK,近藤 壱成,2001/1/15,188/86,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
16.0,,,志賀 一允,GK,東京都,2001/5/20,187/82,0,0,16.0,GK,志賀 一允,2001/5/20,187/82,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
88.0,,,キム ジェヒ,GK,大韓民国,2006/5/16,185/80,2,0,88.0,GK,キム ジェヒ,2006/5/16,185/80,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
2.0,,,田頭 亮太,DF,東京都,2002/2/7,170/67,1,0,2.0,DF,田頭 亮太,2002/2/7,170/67,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
3.0,,,大畑 隆也,DF,群馬県,1997/10/12,180/77,2,0,3.0,DF,大畑 隆也,1997/10/12,180/77,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
5.0,,,キム グニル,DF,大韓民国,2002/12/6,190/85,0,0,5.0,DF,キム グニル,2002/12/6,190/85,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
14.0,,,菊地 健太,DF,東京都,2000/5/28,171/71,2,0,14.0,DF,菊地 健太,2000/5/28,171/71,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
22.0,,,貫 真郷,DF,埼玉県,2003/10/2,185/80,2,0,22.0,DF,貫 真郷,2003/10/2,185/80,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
25.0,,,中野 力瑠,DF,東京都,2005/12/19,185/82,0,0,25.0,DF,中野 力瑠,2005/12/19,185/82,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
26.0,,,秋元 琉星,DF,青森県,2003/1/25,180/79,0,0,26.0,DF,秋元 琉星,2003/1/25,180/79,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
30.0,,,小柳 達司,DF,千葉県,1990/2/7,181/80,0,0,30.0,DF,小柳 達司,1990/2/7,181/80,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
43.0,,,野瀬 翔也,DF,愛知県,2003/2/14,185/75,2,0,43.0,DF,野瀬 翔也,2003/2/14,185/75,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
4.0,,,玉城 大志,MF,埼玉県,2001/4/10,174/73,0,0,4.0,MF,玉城 大志,2001/4/10,174/73,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
6.0,,,米原 秀亮,MF,熊本県,1998/4/20,184/76,1,0,6.0,MF,米原 秀亮,1998/4/20,184/76,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
7.0,,,西村 恭史,MF,大阪府,1999/11/4,185/78,2,0,7.0,MF,西村 恭史,1999/11/4,185/78,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
8.0,,,神垣 陸,MF,群馬県,1998/7/14,179/70,2,0,8.0,MF,神垣 陸,1998/7/14,179/70,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
10.0,,,山口 一真,MF,東京都,1996/1/17,175/70,0,0,10.0,MF,山口 一真,1996/1/17,175/70,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
15.0,,,風間 宏希,MF,静岡県,1991/6/19,177/74,0,0,15.0,MF,風間 宏希,1991/6/19,177/74,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
19.0,,,モハマド ファルザン佐名,MF,千葉県,2004/6/30,175/68,2,0,19.0,MF,モハマド ファルザン佐名,2004/6/30,175/68,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
20.0,,,下川 太陽,MF,大阪府,2002/3/7,165/62,2,0,20.0,MF,下川 太陽,2002/3/7,165/62,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
27.0,,,藤村 怜,MF,北海道,1999/5/26,176/70,2,0,27.0,MF,藤村 怜,1999/5/26,176/70,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
33.0,,,櫻井 文陽,MF,大阪府,2003/5/22,165/62,0,0,33.0,MF,櫻井 文陽,2003/5/22,165/62,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
36.0,,,安達 秀都,MF,熊本県,2004/7/15,170/63,0,0,36.0,MF,安達 秀都,2004/7/15,170/63,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
37.0,,,瀬畠 義成,MF,神奈川県,2001/1/19,182/78,2,0,37.0,MF,瀬畠 義成,2001/1/19,182/78,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
39.0,,,佐藤 凜弥,MF,広島県,2007/8/1,170/64,0,0,39.0,MF,佐藤 凜弥,2007/8/1,170/64,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
42.0,,,原田 高虎,MF,大分県,2007/11/1,176/66,0,0,42.0,MF,原田 高虎,2007/11/1,176/66,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
44.0,,,古賀 竣,MF,島根県,2007/8/7,175/70,0,0,44.0,MF,古賀 竣,2007/8/7,175/70,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
97.0,,,ソン ミンソッ,MF,大韓民国,2007/9/20,187/78,0,0,97.0,MF,ソン ミンソッ,2007/9/20,187/78,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
9.0,,,青木 翔大,FW,神奈川県,1990/8/11,183/80,0,0,9.0,FW,青木 翔大,1990/8/11,183/80,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
11.0,,,加々美 登生,FW,山梨県,1999/2/15,172/69,2,0,11.0,FW,加々美 登生,1999/2/15,172/69,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
17.0,,,百田 真登,FW,大阪府,2001/4/4,178/74,2,0,17.0,FW,百田 真登,2001/4/4,178/74,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
18.0,,,田中 翔太,FW,千葉県,2001/4/10,178/78,0,0,18.0,FW,田中 翔太,2001/4/10,178/78,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
29.0,,,松本 皐誠,FW,三重県,2003/8/12,173/65,2,0,29.0,FW,松本 皐誠,2003/8/12,173/65,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
38.0,,,小西 宏登,FW,大阪府,2002/11/12,171/72,1,0,38.0,FW,小西 宏登,2002/11/12,171/72,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
69.0,,,出間 思努,FW,北海道,2005/6/15,175/73,0,0,69.0,FW,出間 思努,2005/6/15,175/73,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
99.0,,,中島 大嘉,FW,大阪府,2002/6/8,188/88,1,0,99.0,FW,中島 大嘉,2002/6/8,188/88,kusatsu,ザスパ群馬,2026-02-22T16:18:28,https://www.jleague.jp/club/ajax_player/
1.0,,,上林 豪,GK,奈良県,2002/8/18,185/74,0,0,1.0,GK,上林 豪,2002/8/18,185/74,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
21.0,,,富澤 雅也,GK,神奈川県,1993/7/14,188/76,3,0,21.0,GK,富澤 雅也,1993/7/14,188/76,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
23.0,,,高麗 稜太,GK,東京都,2000/7/26,180/78,0,0,23.0,GK,高麗 稜太,2000/7/26,180/78,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
33.0,,,キム ジュンヒョン,GK,大韓民国,2006/3/23,188/79,0,0,33.0,GK,キム ジュンヒョン,2006/3/23,188/79,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
2.0,,,小田 逸稀,DF,佐賀県,1998/7/16,173/68,3,0,2.0,DF,小田 逸稀,1998/7/16,173/68,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
4.0,,,高橋 祥平,DF,東京都,1991/10/27,180/73,0,0,4.0,DF,高橋 祥平,1991/10/27,180/73,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
16.0,,,宮部 大己,DF,東京都,1998/10/16,178/70,3,0,16.0,DF,宮部 大己,1998/10/16,178/70,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
22.0,,,佐相 壱明,DF,東京都,1999/6/16,174/67,2,0,22.0,DF,佐相 壱明,1999/6/16,174/67,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
24.0,,,小川 大貴,DF,静岡県,1991/10/16,172/73,1,0,24.0,DF,小川 大貴,1991/10/16,172/73,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
25.0,,,白井 達也,DF,神奈川県,1997/4/25,180/75,3,0,25.0,DF,白井 達也,1997/4/25,180/75,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
27.0,,HG,二ノ宮 慈洋,DF,群馬県,2003/11/10,190/73,0,0,27.0,DF,二ノ宮 慈洋,2003/11/10,190/73,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
40.0,,HG,樋口 大輝,DF,長野県,2001/9/10,173/70,3,0,40.0,DF,樋口 大輝,2001/9/10,173/70,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
43.0,,,金子 光汰,DF,千葉県,2004/1/27,183/73,3,1,43.0,DF,金子 光汰,2004/1/27,183/73,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
44.0,,,リ トビン,DF,大韓民国,2003/9/24,185/78,0,0,44.0,DF,リ トビン,2003/9/24,185/78,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
8.0,,,深澤 佑太,MF,大阪府,2000/8/15,172/68,3,0,8.0,MF,深澤 佑太,2000/8/15,172/68,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
18.0,,,大橋 尚志,MF,茨城県,1996/12/1,183/72,0,0,18.0,MF,大橋 尚志,1996/12/1,183/72,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
20.0,,,渋谷 諒太,MF,東京都,2003/5/15,174/67,1,0,20.0,MF,渋谷 諒太,2003/5/15,174/67,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
30.0,,,澤崎 凌大,MF,徳島県,2002/3/21,177/72,0,0,30.0,MF,澤崎 凌大,2002/3/21,177/72,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
36.0,,HG,松村 厳,MF,福井県,2002/6/20,178/75,1,0,36.0,MF,松村 厳,2002/6/20,178/75,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
37.0,,HG,萩原 正太郎,MF,長野県,2006/6/14,174/67,0,0,37.0,MF,萩原 正太郎,2006/6/14,174/67,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
41.0,,HG,村越 凱光,MF,神奈川県,2001/10/7,167/64,3,1,41.0,MF,村越 凱光,2001/10/7,167/64,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
46.0,,,安永 玲央,MF,東京都,2000/11/19,177/72,3,0,46.0,MF,安永 玲央,2000/11/19,177/72,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
50.0,,,早河 恭哉,MF,愛知県,2004/1/9,172/65,0,0,50.0,MF,早河 恭哉,2004/1/9,172/65,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
7.0,,,松岡 瑠夢,FW,東京都,1998/7/22,177/65,0,0,7.0,FW,松岡 瑠夢,1998/7/22,177/65,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
9.0,,,加藤 拓己,FW,茨城県,1999/7/16,180/84,3,0,9.0,FW,加藤 拓己,1999/7/16,180/84,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
19.0,,HG,田中 想来,FW,長野県,2004/11/11,174/71,3,0,19.0,FW,田中 想来,2004/11/11,174/71,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
31.0,,,渡邊 乃斗,FW,岩手県,2002/5/5,185/79,1,0,31.0,FW,渡邊 乃斗,2002/5/5,185/79,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
38.0,,,藤枝 康佑,FW,京都府,2003/7/30,175/70,3,1,38.0,FW,藤枝 康佑,2003/7/30,175/70,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
39.0,,,井上 愛簾,FW,神奈川県,2006/9/19,177/72,3,0,39.0,FW,井上 愛簾,2006/9/19,177/72,matsumoto,松本山雅ＦＣ,2026-02-22T16:18:30,https://www.jleague.jp/club/ajax_player/
1.0,,,白井 裕人,GK,千葉県,1988/6/19,184/78,0,0,1.0,GK,白井 裕人,1988/6/19,184/78,kanazawa,ツエーゲン金沢,2026-02-22T16:18:31,https://www.jleague.jp/club/ajax_player/
21.0,,,山ノ井 拓己,GK,千葉県,1998/10/25,185/80,0,0,21.0,GK,山ノ井 拓己,1998/10/25,185/80,kanazawa,ツエーゲン金沢,2026-02-22T16:18:31,https://www.jleague.jp/club/ajax_player/
31.0,,HG,上田 樹,GK,石川県,2001/6/28,188/75,2,0,31.0,GK,上田 樹,2001/6/28,188/75,kanazawa,ツエーゲン金沢,2026-02-22T16:18:31,https://www.jleague.jp/club/ajax_player/
2.0,,,長峰 祐斗,DF,埼玉県,2000/3/28,175/67,1,0,2.0,DF,長峰 祐斗,2000/3/28,175/67,kanazawa,ツエーゲン金沢,2026-02-22T16:18:31,https://www.jleague.jp/club/ajax_player/
3.0,,,畑尾 大翔,DF,東京都,1990/9/16,183/79,0,0,3.0,DF,畑尾 大翔,1990/9/16,183/79,kanazawa,ツエーゲン金沢,2026-02-22T16:18:31,https://www.jleague.jp/club/ajax_player/
6.0,,,村田 航一,DF,宮崎県,1996/9/6,178/78,0,0,6.0,DF,村田 航一,1996/9/6,178/78,kanazawa,ツエーゲン金沢,2026-02-22T16:18:31,https://www.jleague.jp/club/ajax_player/
16.0,,,毛利 駿也,DF,富山県,1995/4/10,175/70,2,0,16.0,DF,毛利 駿也,1995/4/10,175/70,kanazawa,ツエーゲン金沢,2026-02-22T16:18:31,https://www.jleague.jp/club/ajax_player/
19.0,,,寺阪 尚悟,DF,兵庫県,2004/6/6,184/81,1,0,19.0,DF,寺阪 尚悟,2004/6/6,184/81,kanazawa,ツエーゲン金沢,2026-02-22T16:18:31,https://www.jleague.jp/club/ajax_player/
20.0,,,長倉 颯,DF,神奈川県,1996/4/29,177/73,2,0,20.0,DF,長倉 颯,1996/4/29,177/73,kanazawa,ツエーゲン金沢,2026-02-22T16:18:31,https://www.jleague.jp/club/ajax_player/
22.0,,,有吉 勇人,DF,山口県,2003/12/6,183/79,0,0,22.0,DF,有吉 勇人,2003/12/6,183/79,kanazawa,ツエーゲン金沢,2026-02-22T16:18:31,https://www.jleague.jp/club/ajax_player/
